,filepaths,labels
0,train\Black Widow\001.jpg,Black Widow
1,train\Black Widow\002.jpg,Black Widow
2,train\Black Widow\003.jpg,Black Widow
3,train\Black Widow\004.jpg,Black Widow
4,train\Black Widow\005.jpg,Black Widow
5,train\Black Widow\006.jpg,Black Widow
6,train\Black Widow\007.jpg,Black Widow
7,train\Black Widow\008.jpg,Black Widow
8,train\Black Widow\009.jpg,Black Widow
9,train\Black Widow\010.jpg,Black Widow
10,train\Black Widow\011.jpg,Black Widow
11,train\Black Widow\012.jpg,Black Widow
12,train\Black Widow\013.jpg,Black Widow
13,train\Black Widow\014.jpg,Black Widow
14,train\Black Widow\015.jpg,Black Widow
15,train\Black Widow\016.jpg,Black Widow
16,train\Black Widow\017.jpg,Black Widow
17,train\Black Widow\018.jpg,Black Widow
18,train\Black Widow\019.jpg,Black Widow
19,train\Black Widow\020.jpg,Black Widow
20,train\Black Widow\021.jpg,Black Widow
21,train\Black Widow\022.jpg,Black Widow
22,train\Black Widow\023.jpg,Black Widow
23,train\Black Widow\024.jpg,Black Widow
24,train\Black Widow\025.jpg,Black Widow
25,train\Black Widow\026.jpg,Black Widow
26,train\Black Widow\027.jpg,Black Widow
27,train\Black Widow\028.jpg,Black Widow
28,train\Black Widow\029.jpg,Black Widow
29,train\Black Widow\030.jpg,Black Widow
30,train\Black Widow\031.jpg,Black Widow
31,train\Black Widow\032.jpg,Black Widow
32,train\Black Widow\033.jpg,Black Widow
33,train\Black Widow\034.jpg,Black Widow
34,train\Black Widow\035.jpg,Black Widow
35,train\Black Widow\036.jpg,Black Widow
36,train\Black Widow\037.jpg,Black Widow
37,train\Black Widow\038.jpg,Black Widow
38,train\Black Widow\039.jpg,Black Widow
39,train\Black Widow\040.jpg,Black Widow
40,train\Black Widow\041.jpg,Black Widow
41,train\Black Widow\042.jpg,Black Widow
42,train\Black Widow\043.jpg,Black Widow
43,train\Black Widow\044.jpg,Black Widow
44,train\Black Widow\045.jpg,Black Widow
45,train\Black Widow\046.jpg,Black Widow
46,train\Black Widow\047.jpg,Black Widow
47,train\Black Widow\048.jpg,Black Widow
48,train\Black Widow\049.jpg,Black Widow
49,train\Black Widow\050.jpg,Black Widow
50,train\Black Widow\051.jpg,Black Widow
51,train\Black Widow\052.jpg,Black Widow
52,train\Black Widow\053.jpg,Black Widow
53,train\Black Widow\054.jpg,Black Widow
54,train\Black Widow\055.jpg,Black Widow
55,train\Black Widow\056.jpg,Black Widow
56,train\Black Widow\057.jpg,Black Widow
57,train\Black Widow\058.jpg,Black Widow
58,train\Black Widow\059.jpg,Black Widow
59,train\Black Widow\060.jpg,Black Widow
60,train\Black Widow\061.jpg,Black Widow
61,train\Black Widow\062.jpg,Black Widow
62,train\Black Widow\063.jpg,Black Widow
63,train\Black Widow\064.jpg,Black Widow
64,train\Black Widow\065.jpg,Black Widow
65,train\Black Widow\066.jpg,Black Widow
66,train\Black Widow\067.jpg,Black Widow
67,train\Black Widow\068.jpg,Black Widow
68,train\Black Widow\069.jpg,Black Widow
69,train\Black Widow\070.jpg,Black Widow
70,train\Black Widow\071.jpg,Black Widow
71,train\Black Widow\072.jpg,Black Widow
72,train\Black Widow\073.jpg,Black Widow
73,train\Black Widow\074.jpg,Black Widow
74,train\Black Widow\075.jpg,Black Widow
75,train\Black Widow\076.jpg,Black Widow
76,train\Black Widow\077.jpg,Black Widow
77,train\Black Widow\078.jpg,Black Widow
78,train\Black Widow\079.jpg,Black Widow
79,train\Black Widow\080.jpg,Black Widow
80,train\Black Widow\081.jpg,Black Widow
81,train\Black Widow\082.jpg,Black Widow
82,train\Black Widow\083.jpg,Black Widow
83,train\Black Widow\084.jpg,Black Widow
84,train\Black Widow\085.jpg,Black Widow
85,train\Black Widow\086.jpg,Black Widow
86,train\Black Widow\087.jpg,Black Widow
87,train\Black Widow\088.jpg,Black Widow
88,train\Black Widow\089.jpg,Black Widow
89,train\Black Widow\090.jpg,Black Widow
90,train\Black Widow\091.jpg,Black Widow
91,train\Black Widow\092.jpg,Black Widow
92,train\Black Widow\093.jpg,Black Widow
93,train\Black Widow\094.jpg,Black Widow
94,train\Black Widow\095.jpg,Black Widow
95,train\Black Widow\096.jpg,Black Widow
96,train\Black Widow\097.jpg,Black Widow
97,train\Black Widow\098.jpg,Black Widow
98,train\Black Widow\099.jpg,Black Widow
99,train\Black Widow\100.jpg,Black Widow
100,train\Black Widow\101.jpg,Black Widow
101,train\Black Widow\102.jpg,Black Widow
102,train\Black Widow\103.jpg,Black Widow
103,train\Black Widow\104.jpg,Black Widow
104,train\Black Widow\105.jpg,Black Widow
105,train\Black Widow\106.jpg,Black Widow
106,train\Black Widow\107.jpg,Black Widow
107,train\Black Widow\108.jpg,Black Widow
108,train\Black Widow\109.jpg,Black Widow
109,train\Black Widow\110.jpg,Black Widow
110,train\Black Widow\111.jpg,Black Widow
111,train\Black Widow\112.jpg,Black Widow
112,train\Black Widow\113.jpg,Black Widow
113,train\Black Widow\114.jpg,Black Widow
114,train\Black Widow\115.jpg,Black Widow
115,train\Black Widow\116.jpg,Black Widow
116,train\Black Widow\117.jpg,Black Widow
117,train\Black Widow\118.jpg,Black Widow
118,train\Black Widow\119.jpg,Black Widow
119,train\Black Widow\120.jpg,Black Widow
120,train\Black Widow\121.jpg,Black Widow
121,train\Black Widow\122.jpg,Black Widow
122,train\Blue Tarantula\001.jpg,Blue Tarantula
123,train\Blue Tarantula\002.jpg,Blue Tarantula
124,train\Blue Tarantula\003.jpg,Blue Tarantula
125,train\Blue Tarantula\004.jpg,Blue Tarantula
126,train\Blue Tarantula\005.jpg,Blue Tarantula
127,train\Blue Tarantula\006.jpg,Blue Tarantula
128,train\Blue Tarantula\007.jpg,Blue Tarantula
129,train\Blue Tarantula\008.jpg,Blue Tarantula
130,train\Blue Tarantula\009.jpg,Blue Tarantula
131,train\Blue Tarantula\010.jpg,Blue Tarantula
132,train\Blue Tarantula\011.jpg,Blue Tarantula
133,train\Blue Tarantula\012.jpg,Blue Tarantula
134,train\Blue Tarantula\013.jpg,Blue Tarantula
135,train\Blue Tarantula\014.jpg,Blue Tarantula
136,train\Blue Tarantula\015.jpg,Blue Tarantula
137,train\Blue Tarantula\016.jpg,Blue Tarantula
138,train\Blue Tarantula\017.jpg,Blue Tarantula
139,train\Blue Tarantula\018.jpg,Blue Tarantula
140,train\Blue Tarantula\019.jpg,Blue Tarantula
141,train\Blue Tarantula\020.jpg,Blue Tarantula
142,train\Blue Tarantula\021.jpg,Blue Tarantula
143,train\Blue Tarantula\022.jpg,Blue Tarantula
144,train\Blue Tarantula\023.jpg,Blue Tarantula
145,train\Blue Tarantula\024.jpg,Blue Tarantula
146,train\Blue Tarantula\025.jpg,Blue Tarantula
147,train\Blue Tarantula\026.jpg,Blue Tarantula
148,train\Blue Tarantula\027.jpg,Blue Tarantula
149,train\Blue Tarantula\028.jpg,Blue Tarantula
150,train\Blue Tarantula\029.jpg,Blue Tarantula
151,train\Blue Tarantula\030.jpg,Blue Tarantula
152,train\Blue Tarantula\031.jpg,Blue Tarantula
153,train\Blue Tarantula\032.jpg,Blue Tarantula
154,train\Blue Tarantula\033.jpg,Blue Tarantula
155,train\Blue Tarantula\034.jpg,Blue Tarantula
156,train\Blue Tarantula\035.jpg,Blue Tarantula
157,train\Blue Tarantula\036.jpg,Blue Tarantula
158,train\Blue Tarantula\037.jpg,Blue Tarantula
159,train\Blue Tarantula\038.jpg,Blue Tarantula
160,train\Blue Tarantula\039.jpg,Blue Tarantula
161,train\Blue Tarantula\040.jpg,Blue Tarantula
162,train\Blue Tarantula\041.jpg,Blue Tarantula
163,train\Blue Tarantula\042.jpg,Blue Tarantula
164,train\Blue Tarantula\043.jpg,Blue Tarantula
165,train\Blue Tarantula\044.jpg,Blue Tarantula
166,train\Blue Tarantula\045.jpg,Blue Tarantula
167,train\Blue Tarantula\046.jpg,Blue Tarantula
168,train\Blue Tarantula\047.jpg,Blue Tarantula
169,train\Blue Tarantula\048.jpg,Blue Tarantula
170,train\Blue Tarantula\049.jpg,Blue Tarantula
171,train\Blue Tarantula\050.jpg,Blue Tarantula
172,train\Blue Tarantula\051.jpg,Blue Tarantula
173,train\Blue Tarantula\052.jpg,Blue Tarantula
174,train\Blue Tarantula\053.jpg,Blue Tarantula
175,train\Blue Tarantula\054.jpg,Blue Tarantula
176,train\Blue Tarantula\055.jpg,Blue Tarantula
177,train\Blue Tarantula\056.jpg,Blue Tarantula
178,train\Blue Tarantula\057.jpg,Blue Tarantula
179,train\Blue Tarantula\058.jpg,Blue Tarantula
180,train\Blue Tarantula\059.jpg,Blue Tarantula
181,train\Blue Tarantula\060.jpg,Blue Tarantula
182,train\Blue Tarantula\061.jpg,Blue Tarantula
183,train\Blue Tarantula\062.jpg,Blue Tarantula
184,train\Blue Tarantula\063.jpg,Blue Tarantula
185,train\Blue Tarantula\064.jpg,Blue Tarantula
186,train\Blue Tarantula\065.jpg,Blue Tarantula
187,train\Blue Tarantula\066.jpg,Blue Tarantula
188,train\Blue Tarantula\067.jpg,Blue Tarantula
189,train\Blue Tarantula\068.jpg,Blue Tarantula
190,train\Blue Tarantula\069.jpg,Blue Tarantula
191,train\Blue Tarantula\070.jpg,Blue Tarantula
192,train\Blue Tarantula\071.jpg,Blue Tarantula
193,train\Blue Tarantula\072.jpg,Blue Tarantula
194,train\Blue Tarantula\073.jpg,Blue Tarantula
195,train\Blue Tarantula\074.jpg,Blue Tarantula
196,train\Blue Tarantula\075.jpg,Blue Tarantula
197,train\Blue Tarantula\076.jpg,Blue Tarantula
198,train\Blue Tarantula\077.jpg,Blue Tarantula
199,train\Blue Tarantula\078.jpg,Blue Tarantula
200,train\Blue Tarantula\079.jpg,Blue Tarantula
201,train\Blue Tarantula\080.jpg,Blue Tarantula
202,train\Blue Tarantula\081.jpg,Blue Tarantula
203,train\Blue Tarantula\082.jpg,Blue Tarantula
204,train\Blue Tarantula\083.jpg,Blue Tarantula
205,train\Blue Tarantula\084.jpg,Blue Tarantula
206,train\Blue Tarantula\085.jpg,Blue Tarantula
207,train\Blue Tarantula\086.jpg,Blue Tarantula
208,train\Blue Tarantula\087.jpg,Blue Tarantula
209,train\Blue Tarantula\088.jpg,Blue Tarantula
210,train\Blue Tarantula\089.jpg,Blue Tarantula
211,train\Blue Tarantula\090.jpg,Blue Tarantula
212,train\Blue Tarantula\091.jpg,Blue Tarantula
213,train\Blue Tarantula\092.jpg,Blue Tarantula
214,train\Blue Tarantula\093.jpg,Blue Tarantula
215,train\Blue Tarantula\094.jpg,Blue Tarantula
216,train\Blue Tarantula\095.jpg,Blue Tarantula
217,train\Blue Tarantula\096.jpg,Blue Tarantula
218,train\Blue Tarantula\097.jpg,Blue Tarantula
219,train\Blue Tarantula\098.jpg,Blue Tarantula
220,train\Blue Tarantula\099.jpg,Blue Tarantula
221,train\Blue Tarantula\100.jpg,Blue Tarantula
222,train\Blue Tarantula\101.jpg,Blue Tarantula
223,train\Blue Tarantula\102.jpg,Blue Tarantula
224,train\Blue Tarantula\103.jpg,Blue Tarantula
225,train\Blue Tarantula\104.jpg,Blue Tarantula
226,train\Blue Tarantula\105.jpg,Blue Tarantula
227,train\Blue Tarantula\106.jpg,Blue Tarantula
228,train\Blue Tarantula\107.jpg,Blue Tarantula
229,train\Blue Tarantula\108.jpg,Blue Tarantula
230,train\Blue Tarantula\109.jpg,Blue Tarantula
231,train\Blue Tarantula\110.jpg,Blue Tarantula
232,train\Blue Tarantula\111.jpg,Blue Tarantula
233,train\Blue Tarantula\112.jpg,Blue Tarantula
234,train\Blue Tarantula\113.jpg,Blue Tarantula
